Trace,Policy,Cores,Size,Ways,IPC,Cycles,L1_Miss_Rate,L2_Miss_Rate,LLC_Miss_Rate,LLC_Hit_Rate,LLC_MPKI,LLC_Writes
mix,lru,4core,1MB,16way,15.166537999999997,35220258,0.10085847166840717,0.8093037626103193,0.9112614036846529,0.08873859631534707,11.8166,9205
mix,lru,4core,2MB,16way,14.848612,29870941,0.09957885855653592,0.8087207076507688,0.7558612716763006,0.24413872832369943,9.8073,9368
mix,lru,4core,4MB,16way,17.033636,23118747,0.08809009516159128,0.8091518456826607,0.30681292946722954,0.6931870705327705,3.9828,9365
mix,lru,4core,8MB,16way,16.413795999999998,21051570,0.08792267481502059,0.8089989522044008,0.3032607523153499,0.6967392476846501,3.9359,9365
mix,mru,4core,1MB,16way,11.267825,79794580,0.09796610288712804,0.8094121913870457,0.7026332839689005,0.2973667160310996,9.1095,9159
mix,mru,4core,2MB,16way,14.058352000000001,41082756,0.09491174732727195,0.8087638698584133,0.4642045148014273,0.5357954851985727,6.0231,9365
mix,mru,4core,4MB,16way,15.983209,22348079,0.0882127707282529,0.8094489669810053,0.3090263605769601,0.6909736394230399,4.0128,9365
mix,mru,4core,8MB,16way,16.413871,21039285,0.08792267481502059,0.8089989522044008,0.3032607523153499,0.6967392476846501,3.9359,9365
mix,random,4core,1MB,16way,14.649023,37985751,0.10082617345298804,0.8102021626704279,0.8790381664083166,0.12096183359168344,11.3984,9065
mix,random,4core,2MB,16way,15.607694,31007320,0.0972286216130933,0.8097735927624907,0.5674986518758185,0.4325013481241815,7.3667,9268
mix,random,4core,4MB,16way,16.189156999999998,22085599,0.08802083168742357,0.8107331161634819,0.30536762779515786,0.6946323722048421,3.963,9104
mix,random,4core,8MB,16way,16.419736999999998,21018716,0.08791750604001593,0.8109484148307362,0.3030739377512205,0.6969260622487795,3.9359,9160
